ID,date,days,width
ID_19,1/20/16,134,48
ID_19,2/17/16,162,57.5
ID_19,3/16/16,190,57.5
ID_191,12/18/15,101,65.5
ID_191,1/20/16,134,73
ID_191,2/17/16,162,80
ID_191,3/16/16,190,80
ID_197,12/18/15,101,43
ID_197,1/20/16,134,60
ID_197,2/17/16,162,60
ID_197,3/16/16,190,60
ID_198,12/18/15,101,31
ID_198,1/20/16,134,65
ID_198,2/17/16,162,70.5
ID_198,3/16/16,190,70.5
ID_199,12/18/15,101,38.5
ID_199,1/20/16,134,61
ID_199,2/17/16,162,65.5
ID_199,3/16/16,190,65.5
ID_2,12/18/15,101,42.5
ID_2,1/20/16,134,57
ID_2,2/17/16,162,60
ID_2,3/16/16,190,62
ID_20,12/18/15,101,28.5
ID_20,1/20/16,134,44
ID_20,2/17/16,162,56
ID_20,3/16/16,190,56
ID_201,12/18/15,101,32.5
ID_201,1/20/16,134,55
ID_201,2/17/16,162,71
ID_201,3/16/16,190,71
ID_202,12/18/15,101,38.5
ID_202,1/20/16,134,59.5
ID_202,2/17/16,162,59.5
ID_202,3/16/16,190,59.5
ID_207,12/18/15,101,40.5
ID_207,1/20/16,134,60
ID_207,2/17/16,162,75
ID_207,3/16/16,190,75
ID_208,12/18/15,101,52
ID_208,1/20/16,134,67
ID_208,2/17/16,162,79.5
ID_208,3/16/16,190,79.5
ID_21,12/18/15,101,53
ID_21,1/20/16,134,57.5
ID_21,2/17/16,162,65
ID_21,3/16/16,190,72
ID_212,12/18/15,101,24
ID_212,1/20/16,134,59
ID_212,2/17/16,162,60
ID_212,3/16/16,190,60
ID_214,12/18/15,101,26.5
ID_214,1/20/16,134,55
ID_214,2/17/16,162,67.5
ID_214,3/16/16,190,67.5
ID_217,12/18/15,101,31
ID_217,1/20/16,134,47
ID_217,2/17/16,162,66.5
ID_217,3/16/16,190,66.5
ID_223,12/18/15,101,21.5
ID_223,1/20/16,134,44.5
ID_223,2/17/16,162,70.5
ID_223,3/16/16,190,70.5
ID_224,12/18/15,101,27.5
ID_224,1/20/16,134,44
ID_224,2/17/16,162,58
ID_224,3/16/16,190,58
ID_227,12/18/15,101,26.5
ID_227,1/20/16,134,61
ID_227,2/17/16,162,69.5
ID_227,3/16/16,190,69.5
ID_23,12/18/15,101,31
ID_23,1/20/16,134,41.5
ID_23,2/17/16,162,55
ID_23,3/16/16,190,72.5
ID_231,12/18/15,101,35
ID_231,1/20/16,134,59.5
ID_231,2/17/16,162,72.5
ID_231,3/16/16,190,72.5
ID_234,12/18/15,101,24
ID_234,1/20/16,134,60.5
ID_234,2/17/16,162,70
ID_234,3/16/16,190,70
ID_24,12/18/15,101,39
ID_24,1/20/16,134,55
ID_24,2/17/16,162,65
ID_24,3/16/16,190,68.5
ID_25,12/18/15,101,40
ID_25,1/20/16,134,46.5
ID_25,2/17/16,162,59.5
ID_25,3/16/16,190,59.5
ID_26,12/18/15,101,25.5
ID_26,1/20/16,134,45
ID_26,2/17/16,162,62
ID_26,3/16/16,190,62
ID_27,12/18/15,101,43.5
ID_27,1/20/16,134,63
ID_27,2/17/16,162,66
ID_27,3/16/16,190,66
ID_28,12/18/15,101,25.5
ID_28,1/20/16,134,32.5
ID_28,2/17/16,162,49
ID_28,3/16/16,190,49
ID_29,12/18/15,101,41
ID_29,1/20/16,134,61
ID_29,2/17/16,162,67
ID_29,3/16/16,190,67
ID_3,12/18/15,101,23
ID_3,1/20/16,134,36.5
ID_3,2/17/16,162,73.5
ID_3,3/16/16,190,73.5
ID_30,12/18/15,101,45
ID_30,1/20/16,134,55.5
ID_30,2/17/16,162,61.5
ID_30,3/16/16,190,61.5
ID_32,12/18/15,101,44.5
ID_32,1/20/16,134,56.5
ID_32,2/17/16,162,65
ID_32,3/16/16,190,65
ID_34,12/18/15,101,25.5
ID_34,1/20/16,134,36.5
ID_34,2/17/16,162,41.5
ID_34,3/16/16,190,41.5
ID_35,12/18/15,101,38
ID_35,1/20/16,134,46.5
ID_35,2/17/16,162,60.5
ID_35,3/16/16,190,60.5
ID_36,12/18/15,101,37.5
ID_36,1/20/16,134,61
ID_36,2/17/16,162,61
ID_36,3/16/16,190,61
ID_37,12/18/15,101,49
ID_37,1/20/16,134,61
ID_37,2/17/16,162,77
ID_37,3/16/16,190,77
ID_38,12/18/15,101,59.5
ID_38,1/20/16,134,72.5
ID_38,2/17/16,162,81.5
ID_38,3/16/16,190,81.5
ID_39,12/18/15,101,32.5
ID_39,1/20/16,134,41.5
ID_39,2/17/16,162,59
ID_39,3/16/16,190,59
ID_4,12/18/15,101,63.5
ID_4,1/20/16,134,64.5
ID_4,2/17/16,162,68
ID_4,3/16/16,190,71.5
ID_40,12/18/15,101,46.5
ID_40,1/20/16,134,54
ID_40,2/17/16,162,61
ID_40,3/16/16,190,61
ID_41,12/18/15,101,35.5
ID_41,1/20/16,134,49
ID_41,2/17/16,162,60
ID_41,3/16/16,190,60
ID_42,12/18/15,101,49
ID_42,1/20/16,134,55
ID_42,2/17/16,162,67.5
ID_42,3/16/16,190,67.5
ID_45,12/18/15,101,53.5
ID_45,1/20/16,134,63
ID_45,2/17/16,162,68
ID_45,3/16/16,190,68
ID_47,12/18/15,101,24.5
ID_47,1/20/16,134,41
ID_47,2/17/16,162,59
ID_47,3/16/16,190,59
ID_48,12/18/15,101,40
ID_48,1/20/16,134,48
ID_48,2/17/16,162,57
ID_48,3/16/16,190,57
ID_49,12/18/15,101,30.5
ID_49,1/20/16,134,46
ID_49,2/17/16,162,57.5
ID_49,3/16/16,190,58
ID_50,12/18/15,101,32.5
ID_50,1/20/16,134,36.5
ID_50,2/17/16,162,53.5
ID_50,3/16/16,190,58
ID_51,12/18/15,101,67.5
ID_51,1/20/16,134,72
ID_51,2/17/16,162,72
ID_51,3/16/16,190,72
ID_52,12/18/15,101,83.5
ID_52,1/20/16,134,83.5
ID_52,2/17/16,162,83.5
ID_52,3/16/16,190,83.5
ID_53,12/18/15,101,44
ID_53,1/20/16,134,46
ID_53,2/17/16,162,54
