"ID","date","days","width"
"ID_36",2016-02-17,162,57
"ID_36",2016-03-16,190,53.5
"ID_37",2015-12-18,101,49
"ID_37",2016-01-20,134,61
"ID_37",2016-02-17,162,77
"ID_37",2016-03-16,190,55
"ID_38",2015-12-18,101,59.5
"ID_38",2016-01-20,134,72.5
"ID_38",2016-02-17,162,81.5
"ID_38",2016-03-16,190,48.5
"ID_39",2015-12-18,101,32.5
"ID_39",2016-01-20,134,41.5
"ID_39",2016-02-17,162,59
"ID_39",2016-03-16,190,54
"ID_4",2015-12-18,101,63.5
"ID_4",2016-01-20,134,64.5
"ID_4",2016-02-17,162,46
"ID_4",2016-03-16,190,71.5
"ID_40",2015-12-18,101,46.5
"ID_40",2016-01-20,134,54
"ID_40",2016-02-17,162,61
"ID_40",2016-03-16,190,60
"ID_41",2015-12-18,101,35.5
"ID_41",2016-01-20,134,49
"ID_41",2016-02-17,162,60
"ID_41",2016-03-16,190,43
"ID_42",2015-12-18,101,49
"ID_42",2016-01-20,134,55
"ID_42",2016-02-17,162,67.5
"ID_42",2016-03-16,190,57
"ID_45",2015-12-18,101,53.5
"ID_45",2016-01-20,134,63
"ID_45",2016-02-17,162,68
"ID_45",2016-03-16,190,54
"ID_47",2015-12-18,101,24.5
"ID_47",2016-01-20,134,41
"ID_47",2016-02-17,162,59
"ID_47",2016-03-16,190,58.5
"ID_48",2015-12-18,101,40
"ID_48",2016-01-20,134,48
"ID_48",2016-02-17,162,57
"ID_48",2016-03-16,190,57
"ID_49",2015-12-18,101,30.5
"ID_49",2016-01-20,134,46
"ID_49",2016-02-17,162,57.5
"ID_49",2016-03-16,190,58
"ID_50",2015-12-18,101,32.5
"ID_50",2016-01-20,134,36.5
"ID_50",2016-02-17,162,53.5
"ID_50",2016-03-16,190,58
"ID_51",2015-12-18,101,67.5
"ID_51",2016-01-20,134,72
"ID_51",2016-02-17,162,68.5
"ID_51",2016-03-16,190,61
"ID_52",2015-12-18,101,83.5
"ID_52",2016-01-20,134,82.5
"ID_52",2016-02-17,162,68
"ID_52",2016-03-16,190,59.5
"ID_53",2015-12-18,101,44
"ID_53",2016-01-20,134,46
"ID_53",2016-02-17,162,54
"ID_53",2016-03-16,190,51
"ID_55",2015-12-18,101,33
"ID_55",2016-01-20,134,48
"ID_55",2016-02-17,162,44.5
"ID_55",2016-03-16,190,45.5
"ID_56",2015-12-18,101,42.5
"ID_56",2016-01-20,134,50
"ID_56",2016-02-17,162,56.5
"ID_56",2016-03-16,190,59.5
"ID_57",2015-12-18,101,43
"ID_57",2016-01-20,134,52.5
"ID_57",2016-02-17,162,77
"ID_57",2016-03-16,190,59.5
"ID_58",2015-12-18,101,33
"ID_58",2016-01-20,134,41.5
"ID_58",2016-02-17,162,52
"ID_58",2016-03-16,190,52
"ID_59",2015-12-18,101,46
"ID_59",2016-01-20,134,44.5
"ID_59",2016-02-17,162,55.5
"ID_59",2016-03-16,190,56.5
