"ID","date","days","width","width_raw"
"ID_155",2016-03-16,190,75,69
"ID_156",2015-12-18,101,38,38
"ID_156",2016-01-20,134,51,27
"ID_156",2016-02-17,162,62.5,62.5
"ID_156",2016-03-16,190,72,72
"ID_157",2015-12-18,101,19.5,19.5
"ID_157",2016-01-20,134,63.5,63.5
"ID_157",2016-02-17,162,63.5,38
"ID_157",2016-03-16,190,63.5,36.5
"ID_158",2015-12-18,101,60,60
"ID_158",2016-01-20,134,64,56.5
"ID_158",2016-02-17,162,66.5,66.5
"ID_158",2016-03-16,190,70,70
"ID_16",2015-12-18,101,40.5,40.5
"ID_16",2016-01-20,134,49.5,49.5
"ID_16",2016-02-17,162,68,68
"ID_16",2016-03-16,190,68,49
"ID_160",2015-12-18,101,47.5,47.5
"ID_160",2016-01-20,134,60,43.5
"ID_160",2016-02-17,162,71.5,71.5
"ID_160",2016-03-16,190,71.5,69.5
"ID_161",2015-12-18,101,33,33
"ID_161",2016-01-20,134,51.5,51.5
"ID_161",2016-02-17,162,56.5,56.5
"ID_161",2016-03-16,190,65.5,65.5
"ID_163",2015-12-18,101,43.5,43.5
"ID_163",2016-01-20,134,59,59
"ID_163",2016-02-17,162,65,65
"ID_163",2016-03-16,190,66,66
"ID_165",2015-12-18,101,40,40
"ID_165",2016-01-20,134,62.5,62.5
"ID_165",2016-02-17,162,68,68
"ID_165",2016-03-16,190,68,67.5
"ID_166",2015-12-18,101,48,48
"ID_166",2016-01-20,134,61.5,61.5
"ID_166",2016-02-17,162,70,70
"ID_166",2016-03-16,190,70,67
"ID_169",2015-12-18,101,28.5,28.5
"ID_169",2016-01-20,134,63.5,63.5
"ID_169",2016-02-17,162,63.5,54
"ID_169",2016-03-16,190,61,61
"ID_17",2015-12-18,101,49,49
"ID_17",2016-01-20,134,65,65
"ID_17",2016-02-17,162,65,58.5
"ID_17",2016-03-16,190,65,51
"ID_170",2015-12-18,101,46,46
"ID_170",2016-01-20,134,59.5,59.5
"ID_170",2016-02-17,162,80,80
"ID_170",2016-03-16,190,80,71.5
"ID_171",2015-12-18,101,44.5,44.5
"ID_171",2016-01-20,134,58,39
"ID_171",2016-02-17,162,69,69
"ID_171",2016-03-16,190,72.5,72.5
"ID_172",2015-12-18,101,36.5,36.5
"ID_172",2016-01-20,134,51.5,51.5
"ID_172",2016-02-17,162,54,48.5
"ID_172",2016-03-16,190,57,57
"ID_174",2015-12-18,101,52.5,52.5
"ID_174",2016-01-20,134,60.5,60.5
"ID_174",2016-02-17,162,63.5,63.5
"ID_174",2016-03-16,190,72.5,72.5
"ID_175",2015-12-18,101,50.5,50.5
"ID_175",2016-01-20,134,68.5,68.5
"ID_175",2016-02-17,162,69,64
"ID_175",2016-03-16,190,70,70
"ID_176",2015-12-18,101,44.5,44.5
"ID_176",2016-01-20,134,68.5,68.5
"ID_176",2016-02-17,162,68.5,62
"ID_176",2016-03-16,190,68.5,49.5
"ID_177",2015-12-18,101,35.5,35.5
"ID_177",2016-01-20,134,38.5,38.5
"ID_177",2016-02-17,162,77.5,77.5
"ID_177",2016-03-16,190,77.5,72
"ID_18",2015-12-18,101,46.5,46.5
"ID_18",2016-01-20,134,61,42.5
"ID_18",2016-02-17,162,72.5,72.5
"ID_18",2016-03-16,190,72.5,57.5
"ID_180",2015-12-18,101,31,31
"ID_180",2016-01-20,134,53,29
"ID_180",2016-02-17,162,72.5,72.5
"ID_180",2016-03-16,190,72.5,70.5
"ID_181",2015-12-18,101,14.5,14.5
"ID_181",2016-01-20,134,53.5,53.5
"ID_181",2016-02-17,162,55,55
"ID_181",2016-03-16,190,55,53.5
"ID_186",2015-12-18,101,38,38
"ID_186",2016-01-20,134,53,53
"ID_186",2016-02-17,162,67.5,67.5
"ID_186",2016-03-16,190,67.5,44.5
"ID_189",2015-12-18,101,52,52
"ID_189",2016-01-20,134,57,57
"ID_189",2016-02-17,162,60,60
"ID_189",2016-03-16,190,60,46.5
"ID_19",2015-12-18,101,32.5,32.5
"ID_19",2016-01-20,134,48,48
"ID_19",2016-02-17,162,57.5,57.5
"ID_19",2016-03-16,190,57.5,40.5
"ID_191",2015-12-18,101,65.5,65.5
"ID_191",2016-01-20,134,73,14.5
"ID_191",2016-02-17,162,80,80
"ID_191",2016-03-16,190,80,71.5
"ID_197",2015-12-18,101,43,43
"ID_197",2016-01-20,134,60,60
"ID_197",2016-02-17,162,60,60
"ID_197",2016-03-16,190,60,58.5
"ID_198",2015-12-18,101,31,31
"ID_198",2016-01-20,134,65,65
"ID_198",2016-02-17,162,70.5,70.5
"ID_198",2016-03-16,190,70.5,47.5
"ID_199",2015-12-18,101,38.5,38.5
"ID_199",2016-01-20,134,61,61
"ID_199",2016-02-17,162,65.5,65.5
"ID_199",2016-03-16,190,65.5,53.5
"ID_2",2015-12-18,101,42.5,42.5
"ID_2",2016-01-20,134,57,57
"ID_2",2016-02-17,162,60,60
"ID_2",2016-03-16,190,62,62
"ID_20",2015-12-18,101,28.5,28.5
"ID_20",2016-01-20,134,44,44
"ID_20",2016-02-17,162,56,56
"ID_20",2016-03-16,190,56,40
"ID_201",2015-12-18,101,32.5,32.5
"ID_201",2016-01-20,134,55,55
"ID_201",2016-02-17,162,71,71
"ID_201",2016-03-16,190,71,51
"ID_202",2015-12-18,101,38.5,38.5
"ID_202",2016-01-20,134,59.5,59.5
"ID_202",2016-02-17,162,59.5,57.5
"ID_202",2016-03-16,190,59.5,44.5
"ID_207",2015-12-18,101,40.5,40.5
"ID_207",2016-01-20,134,60,60
"ID_207",2016-02-17,162,75,75
"ID_207",2016-03-16,190,75,44
"ID_208",2015-12-18,101,52,52
"ID_208",2016-01-20,134,67,50.5
"ID_208",2016-02-17,162,79.5,79.5
"ID_208",2016-03-16,190,79.5,48
"ID_21",2015-12-18,101,53,53
"ID_21",2016-01-20,134,57.5,57.5
"ID_21",2016-02-17,162,65,54
"ID_21",2016-03-16,190,72,72
"ID_212",2015-12-18,101,24,24
"ID_212",2016-01-20,134,59,59
"ID_212",2016-02-17,162,60,60
"ID_212",2016-03-16,190,60,46.5
"ID_214",2015-12-18,101,26.5,26.5
"ID_214",2016-01-20,134,55,55
"ID_214",2016-02-17,162,67.5,67.5
"ID_214",2016-03-16,190,67.5,47
"ID_217",2015-12-18,101,31,31
"ID_217",2016-01-20,134,47,47
