ID,date,days,leaf_n
ID_55,3/21/16,195,5
ID_56,12/28/15,111,18
ID_56,1/21/16,135,18
ID_56,2/18/16,163,4
ID_56,3/21/16,195,4
ID_57,12/28/15,111,23
ID_57,1/21/16,135,23
ID_57,2/18/16,163,9
ID_57,3/21/16,195,9
ID_58,12/28/15,111,21
ID_58,1/21/16,135,21
ID_58,2/18/16,163,20
ID_58,3/21/16,195,12
ID_59,12/28/15,111,16
ID_59,1/21/16,135,12
ID_59,2/18/16,163,8
ID_59,3/21/16,195,8
ID_6,12/28/15,111,19
ID_6,1/21/16,135,19
ID_6,2/18/16,163,12
ID_6,3/21/16,195,8
ID_60,12/28/15,111,26
ID_60,1/21/16,135,26
ID_60,2/18/16,163,12
ID_60,3/21/16,195,9
ID_61,12/28/15,111,20
ID_61,1/21/16,135,20
ID_61,2/18/16,163,14
ID_61,3/21/16,195,14
ID_62,12/28/15,111,14
ID_62,1/21/16,135,14
ID_62,2/18/16,163,9
ID_62,3/21/16,195,9
ID_63,12/28/15,111,16
ID_63,1/21/16,135,16
ID_63,2/18/16,163,4
ID_63,3/21/16,195,4
ID_64,12/28/15,111,20
ID_64,1/21/16,135,20
ID_64,2/18/16,163,11
ID_64,3/21/16,195,8
ID_65,12/28/15,111,25
ID_65,1/21/16,135,6
ID_65,2/18/16,163,6
ID_65,3/21/16,195,4
ID_67,12/28/15,111,21
ID_67,1/21/16,135,8
ID_67,2/18/16,163,5
ID_67,3/21/16,195,5
ID_68,12/28/15,111,20
ID_68,1/21/16,135,15
ID_68,2/18/16,163,6
ID_68,3/21/16,195,6
ID_69,12/28/15,111,6
ID_69,1/21/16,135,6
ID_69,2/18/16,163,4
ID_69,3/21/16,195,4
ID_7,12/28/15,111,30
ID_7,1/21/16,135,30
ID_7,2/18/16,163,11
ID_7,3/21/16,195,10
ID_72,12/28/15,111,6
ID_72,1/21/16,135,7
ID_72,2/18/16,163,8
ID_72,3/21/16,195,2
ID_73,12/28/15,111,20
ID_73,1/21/16,135,20
ID_73,2/18/16,163,11
ID_73,3/21/16,195,7
ID_74,12/28/15,111,21
ID_74,1/21/16,135,10
ID_74,2/18/16,163,6
ID_74,3/21/16,195,6
ID_75,12/28/15,111,10
ID_75,1/21/16,135,4
ID_75,2/18/16,163,4
ID_75,3/21/16,195,4
ID_76,12/28/15,111,15
ID_76,1/21/16,135,9
ID_76,2/18/16,163,4
ID_76,3/21/16,195,1
ID_77,12/28/15,111,20
ID_77,1/21/16,135,5
ID_77,2/18/16,163,4.5
ID_77,3/21/16,195,4
ID_78,12/28/15,111,21
ID_78,1/21/16,135,13
ID_78,2/18/16,163,13
ID_78,3/21/16,195,6
ID_79,12/28/15,111,22
ID_79,1/21/16,135,22
ID_79,2/18/16,163,14
ID_79,3/21/16,195,11
ID_8,12/28/15,111,23
ID_8,1/21/16,135,23
ID_8,2/18/16,163,14
ID_8,3/21/16,195,14
ID_80,12/28/15,111,22
ID_80,1/21/16,135,22
ID_80,2/18/16,163,15
ID_80,3/21/16,195,8
ID_81,12/28/15,111,20
ID_81,1/21/16,135,5
ID_81,2/18/16,163,3.5
ID_81,3/21/16,195,2
ID_82,12/28/15,111,17
ID_82,1/21/16,135,14
ID_82,2/18/16,163,7
ID_82,3/21/16,195,4
ID_84,12/28/15,111,20
ID_84,1/21/16,135,7
ID_84,2/18/16,163,4
ID_84,3/21/16,195,4
ID_85,12/28/15,111,19
ID_85,1/21/16,135,15
ID_85,2/18/16,163,12
ID_85,3/21/16,195,10
ID_86,12/28/15,111,19
ID_86,1/21/16,135,19
ID_86,2/18/16,163,10
ID_86,3/21/16,195,10
ID_87,12/28/15,111,25
ID_87,1/21/16,135,24
ID_87,2/18/16,163,8
ID_87,3/21/16,195,5
ID_88,12/28/15,111,13
ID_88,1/21/16,135,10
ID_88,2/18/16,163,7
ID_88,3/21/16,195,6
ID_89,12/28/15,111,19
ID_89,1/21/16,135,19
ID_89,2/18/16,163,10
ID_89,3/21/16,195,10
ID_9,12/28/15,111,20
ID_9,1/21/16,135,20
ID_9,2/18/16,163,4
ID_9,3/21/16,195,4
ID_90,12/28/15,111,22
ID_90,1/21/16,135,18
ID_90,2/18/16,163,15
ID_90,3/21/16,195,8
ID_91,12/28/15,111,20
ID_91,1/21/16,135,20
ID_91,2/18/16,163,14
ID_91,3/21/16,195,9
ID_92,12/28/15,111,25
ID_92,1/21/16,135,25
ID_92,2/18/16,163,17
ID_92,3/21/16,195,15
ID_94,12/28/15,111,17
ID_94,1/21/16,135,9
ID_94,2/18/16,163,5
ID_94,3/21/16,195,5
ID_95,12/28/15,111,15
ID_95,1/21/16,135,14
ID_95,2/18/16,163,4
ID_95,3/21/16,195,4
ID_96,12/28/15,111,15
ID_96,1/21/16,135,15
ID_96,2/18/16,163,6
ID_96,3/21/16,195,4
ID_98,12/28/15,111,22
ID_98,1/21/16,135,13
ID_98,2/18/16,163,5
ID_98,3/21/16,195,5
ID_99,12/28/15,111,20
ID_99,1/21/16,135,10
ID_99,2/18/16,163,8
ID_99,3/21/16,195,7
Da_Ol1_1,12/28/15,111,5
Da_Ol1_1,1/21/16,135,6
Da_Ol1_1,2/18/16,163,6
Da_Ol1_1,3/21/16,195,6
Da_Ol1_2,12/28/15,111,3
Da_Ol1_2,1/21/16,135,9
Da_Ol1_2,2/18/16,163,9
Da_Ol1_2,3/21/16,195,9
Da_Ol1_3,12/28/15,111,3
Da_Ol1_3,1/21/16,135,7
Da_Ol1_3,2/18/16,163,7
Da_Ol1_3,3/21/16,195,7
Da_Ae_1,12/28/15,111,14
Da_Ae_1,1/21/16,135,18
Da_Ae_1,2/18/16,163,18
Da_Ae_1,3/21/16,195,18
Da_Ae_2,12/28/15,111,17
Da_Ae_2,1/21/16,135,27
Da_Ae_2,2/18/16,163,27
Da_Ae_2,3/21/16,195,27
F1_1,12/28/15,111,20
F1_1,1/21/16,135,20
F1_1,2/18/16,163,20
F1_1,3/21/16,195,20
F1_2,12/28/15,111,18
F1_2,1/21/16,135,18
F1_2,2/18/16,163,18
F1_2,3/21/16,195,18
F1_3,12/28/15,111,19
F1_3,1/21/16,135,19
F1_3,2/18/16,163,19
F1_3,3/21/16,195,19
