"ID","date","days","leaf_number","leaf_number_raw"
"ID_170",2015-12-28,111,16,16
"ID_170",2016-01-21,135,14,14
"ID_170",2016-02-18,163,9,9
"ID_170",2016-03-21,195,6,6
"ID_171",2015-12-28,111,21,21
"ID_171",2016-01-21,135,14,14
"ID_171",2016-02-18,163,1,1
"ID_171",2016-03-21,195,5,9
"ID_172",2015-12-28,111,18,18
"ID_172",2016-01-21,135,11,11
"ID_172",2016-02-18,163,3,3
"ID_172",2016-03-21,195,8,4
"ID_174",2015-12-28,111,20,20
"ID_174",2016-01-21,135,12,12
"ID_174",2016-02-18,163,5,5
"ID_174",2016-03-21,195,4,4
"ID_175",2015-12-28,111,21,21
"ID_175",2016-01-21,135,9,9
"ID_175",2016-02-18,163,6,6
"ID_175",2016-03-21,195,5,5
"ID_176",2015-12-28,111,17,17
"ID_176",2016-01-21,135,13,13
"ID_176",2016-02-18,163,1,1
"ID_176",2016-03-21,195,8,2
"ID_177",2015-12-28,111,17,17
"ID_177",2016-01-21,135,16,16
"ID_177",2016-02-18,163,6,6
"ID_177",2016-03-21,195,6,6
"ID_18",2015-12-28,111,18,17
"ID_18",2016-01-21,135,21,21
"ID_18",2016-02-18,163,13,13
"ID_18",2016-03-21,195,4,19
"ID_180",2015-12-28,111,19,14
"ID_180",2016-01-21,135,17,17
"ID_180",2016-02-18,163,8,8
"ID_180",2016-03-21,195,8,8
"ID_181",2015-12-28,111,22,13
"ID_181",2016-01-21,135,14,14
"ID_181",2016-02-18,163,4,4
"ID_181",2016-03-21,195,10,5
"ID_186",2015-12-28,111,17,15
"ID_186",2016-01-21,135,16,16
"ID_186",2016-02-18,163,2,2
"ID_186",2016-03-21,195,11,10
"ID_189",2015-12-28,111,11,11
"ID_189",2016-01-21,135,5,5
"ID_189",2016-02-18,163,1,1
"ID_189",2016-03-21,195,7,10
"ID_19",2015-12-28,111,15,15
"ID_19",2016-01-21,135,13,13
"ID_19",2016-02-18,163,12,12
"ID_19",2016-03-21,195,11,11
"ID_191",2015-12-28,111,25,25
"ID_191",2016-01-21,135,7,7
"ID_191",2016-02-18,163,3,3
"ID_191",2016-03-21,195,11,11
"ID_192",2015-12-28,111,3,3
"ID_192",2016-01-21,135,3,3
"ID_192",2016-02-18,163,2,2
"ID_192",2016-03-21,195,4,4
"ID_197",2015-12-28,111,17,18
"ID_197",2016-01-21,135,23,23
"ID_197",2016-02-18,163,3,3
"ID_197",2016-03-21,195,4,9
"ID_198",2015-12-28,111,22,15
"ID_198",2016-01-21,135,19,19
"ID_198",2016-02-18,163,5,5
"ID_198",2016-03-21,195,6,10
"ID_199",2015-12-28,111,19,19
"ID_199",2016-01-21,135,11,11
"ID_199",2016-02-18,163,2,2
"ID_199",2016-03-21,195,10,13
"ID_2",2015-12-28,111,19,19
"ID_2",2016-01-21,135,11,11
"ID_2",2016-02-18,163,9,9
"ID_2",2016-03-21,195,8,8
"ID_20",2015-12-28,111,9,17
"ID_20",2016-01-21,135,19,19
"ID_20",2016-02-18,163,19,19
"ID_20",2016-03-21,195,10,10
"ID_201",2015-12-28,111,13,14
"ID_201",2016-01-21,135,18,18
"ID_201",2016-02-18,163,6,6
"ID_201",2016-03-21,195,9,11
"ID_202",2015-12-28,111,3,3
"ID_202",2016-01-21,135,4,4
"ID_202",2016-02-18,163,2,2
"ID_202",2016-03-21,195,7,7
"ID_207",2015-12-28,111,17,17
"ID_207",2016-01-21,135,16,16
"ID_207",2016-02-18,163,8,8
"ID_207",2016-03-21,195,8,8
"ID_208",2015-12-28,111,21,19
"ID_208",2016-01-21,135,27,27
"ID_208",2016-02-18,163,7,7
"ID_208",2016-03-21,195,6,6
"ID_21",2015-12-28,111,23,23
"ID_21",2016-01-21,135,10,10
"ID_21",2016-02-18,163,10,10
"ID_21",2016-03-21,195,8,8
"ID_212",2015-12-28,111,15,15
"ID_212",2016-01-21,135,3,3
"ID_212",2016-02-18,163,2,2
"ID_212",2016-03-21,195,5,10
"ID_214",2015-12-28,111,21,13
"ID_214",2016-01-21,135,17,17
"ID_214",2016-02-18,163,4,4
"ID_214",2016-03-21,195,9,10
