"ID","date","days","lobe_n","lobe_n_raw"
"ID_17",2015-12-28,111,0,0
"ID_17",2016-01-21,135,10,10
"ID_17",2016-02-18,163,15,15
"ID_17",2016-03-21,195,15,14
"ID_170",2015-12-28,111,0,0
"ID_170",2016-01-21,135,4,4
"ID_170",2016-02-18,163,8,8
"ID_170",2016-03-21,195,12,12
"ID_171",2015-12-28,111,1,1
"ID_171",2016-01-21,135,3,3
"ID_171",2016-02-18,163,14,14
"ID_171",2016-03-21,195,19,19
"ID_172",2015-12-28,111,2,2
"ID_172",2016-01-21,135,9,9
"ID_172",2016-02-18,163,10,8
"ID_172",2016-03-21,195,12,12
"ID_174",2015-12-28,111,0,0
"ID_174",2016-01-21,135,9,9
"ID_174",2016-02-18,163,10,8
"ID_174",2016-03-21,195,12,12
"ID_175",2015-12-28,111,0,0
"ID_175",2016-01-21,135,6,6
"ID_175",2016-02-18,163,9,9
"ID_175",2016-03-21,195,14,14
"ID_176",2015-12-28,111,0,0
"ID_176",2016-01-21,135,6,6
"ID_176",2016-02-18,163,11,11
"ID_176",2016-03-21,195,14,14
"ID_177",2015-12-28,111,0,0
"ID_177",2016-01-21,135,9,9
"ID_177",2016-02-18,163,9,9
"ID_177",2016-03-21,195,16,16
"ID_18",2015-12-28,111,0,0
"ID_18",2016-01-21,135,0,0
"ID_18",2016-02-18,163,13,13
"ID_18",2016-03-21,195,13,12
"ID_180",2015-12-28,111,0,0
"ID_180",2016-01-21,135,0,0
"ID_180",2016-02-18,163,8,8
"ID_180",2016-03-21,195,8,8
"ID_181",2015-12-28,111,0,0
"ID_181",2016-01-21,135,0,0
"ID_181",2016-02-18,163,6,6
"ID_181",2016-03-21,195,9,9
"ID_186",2015-12-28,111,2,2
"ID_186",2016-01-21,135,5,0
"ID_186",2016-02-18,163,9,9
"ID_186",2016-03-21,195,10,10
"ID_189",2015-12-28,111,6,6
"ID_189",2016-01-21,135,10,10
"ID_189",2016-02-18,163,12,12
"ID_189",2016-03-21,195,12,8
"ID_19",2015-12-28,111,0,0
"ID_19",2016-01-21,135,3,3
"ID_19",2016-02-18,163,9,9
"ID_19",2016-03-21,195,9,7
"ID_191",2015-12-28,111,0,0
"ID_191",2016-01-21,135,17,17
"ID_191",2016-02-18,163,17,16
"ID_191",2016-03-21,195,17,17
"ID_192",2015-12-28,111,6,6
"ID_192",2016-01-21,135,7,7
"ID_192",2016-02-18,163,7,6
"ID_192",2016-03-21,195,7,6
"ID_197",2015-12-28,111,0,0
"ID_197",2016-01-21,135,0,0
"ID_197",2016-02-18,163,9,9
"ID_197",2016-03-21,195,9,9
"ID_198",2015-12-28,111,0,0
"ID_198",2016-01-21,135,0,0
"ID_198",2016-02-18,163,7,7
"ID_198",2016-03-21,195,11,11
"ID_199",2015-12-28,111,0,0
"ID_199",2016-01-21,135,9,9
"ID_199",2016-02-18,163,16,16
"ID_199",2016-03-21,195,16,13
"ID_2",2015-12-28,111,0,0
"ID_2",2016-01-21,135,9,9
"ID_2",2016-02-18,163,15,15
"ID_2",2016-03-21,195,16,16
"ID_20",2015-12-28,111,0,0
"ID_20",2016-01-21,135,0,0
"ID_20",2016-02-18,163,6,6
"ID_20",2016-03-21,195,12,12
"ID_201",2015-12-28,111,0,0
"ID_201",2016-01-21,135,1,1
"ID_201",2016-02-18,163,7,7
"ID_201",2016-03-21,195,10,10
"ID_202",2015-12-28,111,9,9
"ID_202",2016-01-21,135,9,7
"ID_202",2016-02-18,163,9,5
"ID_202",2016-03-21,195,9,8
"ID_207",2015-12-28,111,0,0
"ID_207",2016-01-21,135,0,0
"ID_207",2016-02-18,163,10,10
"ID_207",2016-03-21,195,13,13
"ID_208",2015-12-28,111,0,0
"ID_208",2016-01-21,135,0,0
"ID_208",2016-02-18,163,8,8
"ID_208",2016-03-21,195,15,15
"ID_21",2015-12-28,111,0,0
"ID_21",2016-01-21,135,9,9
"ID_21",2016-02-18,163,11,11
"ID_21",2016-03-21,195,11,9
"ID_212",2015-12-28,111,0,0
"ID_212",2016-01-21,135,14,14
"ID_212",2016-02-18,163,14,9
"ID_212",2016-03-21,195,14,10
"ID_214",2015-12-28,111,0,0
"ID_214",2016-01-21,135,0,0
"ID_214",2016-02-18,163,9,9
"ID_214",2016-03-21,195,11,11
"ID_217",2015-12-28,111,0,0
"ID_217",2016-01-21,135,1,1
"ID_217",2016-02-18,163,10,10
"ID_217",2016-03-21,195,10,10
"ID_223",2015-12-28,111,0,0
"ID_223",2016-01-21,135,0,0
"ID_223",2016-02-18,163,8,8
"ID_223",2016-03-21,195,14,14
"ID_224",2015-12-28,111,0,0
"ID_224",2016-01-21,135,0,0
"ID_224",2016-02-18,163,9,9
"ID_224",2016-03-21,195,13,13
"ID_227",2015-12-28,111,0,0
"ID_227",2016-01-21,135,0,0
"ID_227",2016-02-18,163,10,10
"ID_227",2016-03-21,195,11,11
"ID_23",2015-12-28,111,0,0
"ID_23",2016-01-21,135,0,0
"ID_23",2016-02-18,163,6,6
"ID_23",2016-03-21,195,12,12
"ID_231",2015-12-28,111,0,0
"ID_231",2016-01-21,135,12,12
"ID_231",2016-02-18,163,12,8
"ID_231",2016-03-21,195,12,10
"ID_234",2015-12-28,111,0,0
"ID_234",2016-01-21,135,1,1
"ID_234",2016-02-18,163,8,8
"ID_234",2016-03-21,195,10,10
"ID_24",2015-12-28,111,0,0
"ID_24",2016-01-21,135,0,0
"ID_24",2016-02-18,163,11,11
"ID_24",2016-03-21,195,11,11
"ID_25",2015-12-28,111,0,0
"ID_25",2016-01-21,135,5,5
"ID_25",2016-02-18,163,9,9
"ID_25",2016-03-21,195,9,9
"ID_26",2015-12-28,111,1,1
"ID_26",2016-01-21,135,6,0
"ID_26",2016-02-18,163,11,11
"ID_26",2016-03-21,195,12,12
"ID_27",2015-12-28,111,0,0
"ID_27",2016-01-21,135,6,6
"ID_27",2016-02-18,163,18,18
"ID_27",2016-03-21,195,18,14
"ID_28",2015-12-28,111,6,6
"ID_28",2016-01-21,135,6,4
"ID_28",2016-02-18,163,5,5
"ID_28",2016-03-21,195,7,7
"ID_29",2015-12-28,111,0,0
"ID_29",2016-01-21,135,5,5
"ID_29",2016-02-18,163,15,15
"ID_29",2016-03-21,195,15,14
"ID_3",2015-12-28,111,0,0
"ID_3",2016-01-21,135,0,0
"ID_3",2016-02-18,163,0,0
"ID_3",2016-03-21,195,8,8
"ID_30",2015-12-28,111,0,0
"ID_30",2016-01-21,135,9,9
"ID_30",2016-02-18,163,16,16
"ID_30",2016-03-21,195,16,12
"ID_32",2015-12-28,111,0,0
"ID_32",2016-01-21,135,0,0
"ID_32",2016-02-18,163,9,9
"ID_32",2016-03-21,195,10,10
"ID_34",2015-12-28,111,4,4
"ID_34",2016-01-21,135,6,1
"ID_34",2016-02-18,163,8,8
"ID_34",2016-03-21,195,10,10
"ID_35",2015-12-28,111,3,3
"ID_35",2016-01-21,135,8,8
"ID_35",2016-02-18,163,9,9
"ID_35",2016-03-21,195,11,11
"ID_36",2015-12-28,111,5,5
"ID_36",2016-01-21,135,6,0
"ID_36",2016-02-18,163,8,8
"ID_36",2016-03-21,195,8,8
"ID_37",2015-12-28,111,0,0
"ID_37",2016-01-21,135,13,13
"ID_37",2016-02-18,163,13,12
"ID_37",2016-03-21,195,14,14
"ID_38",2015-12-28,111,1,1
"ID_38",2016-01-21,135,8,0
"ID_38",2016-02-18,163,17,17
"ID_38",2016-03-21,195,17,16
"ID_39",2015-12-28,111,0,0
"ID_39",2016-01-21,135,0,0
"ID_39",2016-02-18,163,4,4
"ID_39",2016-03-21,195,8,8
"ID_4",2015-12-28,111,9,9
"ID_4",2016-01-21,135,11,11
"ID_4",2016-02-18,163,15,15
"ID_4",2016-03-21,195,15,11
"ID_40",2015-12-28,111,0,0
"ID_40",2016-01-21,135,13,13
"ID_40",2016-02-18,163,13,10
"ID_40",2016-03-21,195,13,11
