ID,date,days,lobe_n
ID_18,12/28/15,111,0
ID_18,1/21/16,135,0
ID_18,2/18/16,163,13
ID_18,3/21/16,195,13
ID_180,12/28/15,111,0
ID_180,1/21/16,135,0
ID_180,2/18/16,163,8
ID_180,3/21/16,195,8
ID_181,12/28/15,111,0
ID_181,1/21/16,135,0
ID_181,2/18/16,163,6
ID_181,3/21/16,195,9
ID_186,12/28/15,111,2
ID_186,1/21/16,135,5
ID_186,2/18/16,163,9
ID_186,3/21/16,195,10
ID_189,12/28/15,111,6
ID_189,1/21/16,135,10
ID_189,2/18/16,163,12
ID_189,3/21/16,195,12
ID_19,12/28/15,111,0
ID_19,1/21/16,135,3
ID_19,2/18/16,163,9
ID_19,3/21/16,195,9
ID_191,12/28/15,111,0
ID_191,1/21/16,135,17
ID_191,2/18/16,163,17
ID_191,3/21/16,195,17
ID_192,12/28/15,111,6
ID_192,1/21/16,135,7
ID_192,2/18/16,163,7
ID_192,3/21/16,195,7
ID_197,12/28/15,111,0
ID_197,1/21/16,135,0
ID_197,2/18/16,163,9
ID_197,3/21/16,195,9
ID_198,12/28/15,111,0
ID_198,1/21/16,135,0
ID_198,2/18/16,163,7
ID_198,3/21/16,195,11
ID_199,12/28/15,111,0
ID_199,1/21/16,135,9
ID_199,2/18/16,163,16
ID_199,3/21/16,195,16
ID_2,12/28/15,111,0
ID_2,1/21/16,135,9
ID_2,2/18/16,163,15
ID_2,3/21/16,195,16
ID_20,12/28/15,111,0
ID_20,1/21/16,135,0
ID_20,2/18/16,163,6
ID_20,3/21/16,195,12
ID_201,12/28/15,111,0
ID_201,1/21/16,135,1
ID_201,2/18/16,163,7
ID_201,3/21/16,195,10
ID_202,12/28/15,111,9
ID_202,1/21/16,135,9
ID_202,2/18/16,163,9
ID_202,3/21/16,195,9
ID_207,12/28/15,111,0
ID_207,1/21/16,135,0
ID_207,2/18/16,163,10
ID_207,3/21/16,195,13
ID_208,12/28/15,111,0
ID_208,1/21/16,135,0
ID_208,2/18/16,163,8
ID_208,3/21/16,195,15
ID_21,12/28/15,111,0
ID_21,1/21/16,135,9
ID_21,2/18/16,163,11
ID_21,3/21/16,195,11
ID_212,12/28/15,111,0
ID_212,1/21/16,135,14
ID_212,2/18/16,163,14
ID_212,3/21/16,195,14
ID_214,12/28/15,111,0
ID_214,1/21/16,135,0
ID_214,2/18/16,163,9
ID_214,3/21/16,195,11
ID_217,12/28/15,111,0
ID_217,1/21/16,135,1
ID_217,2/18/16,163,10
ID_217,3/21/16,195,10
ID_223,12/28/15,111,0
ID_223,1/21/16,135,0
ID_223,2/18/16,163,8
ID_223,3/21/16,195,14
ID_224,12/28/15,111,0
ID_224,1/21/16,135,0
ID_224,2/18/16,163,9
ID_224,3/21/16,195,13
ID_227,12/28/15,111,0
ID_227,1/21/16,135,0
ID_227,2/18/16,163,10
ID_227,3/21/16,195,11
ID_23,12/28/15,111,0
ID_23,1/21/16,135,0
ID_23,2/18/16,163,6
ID_23,3/21/16,195,12
ID_231,12/28/15,111,0
ID_231,1/21/16,135,12
ID_231,2/18/16,163,12
ID_231,3/21/16,195,12
ID_234,12/28/15,111,0
ID_234,1/21/16,135,1
ID_234,2/18/16,163,8
ID_234,3/21/16,195,10
ID_24,12/28/15,111,0
ID_24,1/21/16,135,0
ID_24,2/18/16,163,11
ID_24,3/21/16,195,11
ID_25,12/28/15,111,0
ID_25,1/21/16,135,5
ID_25,2/18/16,163,9
ID_25,3/21/16,195,9
ID_26,12/28/15,111,1
ID_26,1/21/16,135,6
ID_26,2/18/16,163,11
ID_26,3/21/16,195,12
ID_27,12/28/15,111,0
ID_27,1/21/16,135,6
ID_27,2/18/16,163,18
ID_27,3/21/16,195,18
ID_28,12/28/15,111,6
ID_28,1/21/16,135,6
ID_28,2/18/16,163,5
ID_28,3/21/16,195,7
ID_29,12/28/15,111,0
ID_29,1/21/16,135,5
ID_29,2/18/16,163,15
ID_29,3/21/16,195,15
