ID,date,days,height
ID_161,2/17/16,162,102
ID_161,3/16/16,190,160
ID_161,5/13/16,248,176
ID_163,12/18/15,101,12
ID_163,1/20/16,134,49
ID_163,2/17/16,162,115
ID_163,3/16/16,190,149
ID_163,5/13/16,248,167
ID_165,12/18/15,101,15
ID_165,1/20/16,134,50
ID_165,2/17/16,162,73
ID_165,3/16/16,190,127
ID_165,5/13/16,248,174
ID_166,12/18/15,101,22
ID_166,1/20/16,134,64
ID_166,2/17/16,162,152
ID_166,3/16/16,190,160
ID_166,5/13/16,248,168
ID_169,12/18/15,101,8
ID_169,1/20/16,134,49
ID_169,2/17/16,162,107
ID_169,3/16/16,190,115
ID_169,5/13/16,248,150
ID_17,12/18/15,101,20
ID_17,1/20/16,134,58
ID_17,2/17/16,162,134
ID_17,3/16/16,190,154
ID_17,5/13/16,248,187
ID_170,12/18/15,101,24
ID_170,1/20/16,134,46
ID_170,2/17/16,162,106
ID_170,3/16/16,190,137
ID_170,5/13/16,248,166
ID_171,12/18/15,101,18
ID_171,1/20/16,134,39
ID_171,2/17/16,162,129
ID_171,3/16/16,190,144
ID_171,5/13/16,248,164
ID_172,12/18/15,101,20
ID_172,1/20/16,134,41
ID_172,2/17/16,162,110
ID_172,3/16/16,190,145
ID_172,5/13/16,248,153
ID_174,12/18/15,101,16
ID_174,1/20/16,134,36
ID_174,2/17/16,162,119
ID_174,3/16/16,190,138
ID_174,5/13/16,248,157
ID_175,12/18/15,101,9
ID_175,1/20/16,134,46
ID_175,2/17/16,162,120
ID_175,3/16/16,190,125
ID_175,5/13/16,248,157
ID_176,12/18/15,101,9
ID_176,1/20/16,134,44
ID_176,2/17/16,162,133
ID_176,3/16/16,190,138
ID_176,5/13/16,248,149
ID_177,12/18/15,101,17
ID_177,1/20/16,134,28
ID_177,2/17/16,162,60
ID_177,3/16/16,190,128
ID_177,5/13/16,248,154
ID_18,12/18/15,101,15
ID_18,1/20/16,134,32
ID_18,2/17/16,162,78
ID_18,3/16/16,190,149
ID_18,5/13/16,248,180
ID_180,12/18/15,101,11
